Arthropod Taxa	Arthropod Species Scientific Name	Common Name	Tree Host(s)*	Endangered Risk Rating	Reference(s)	referenceCitation
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Robinia pseudoacacia	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Robinia pseudoacacia	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Robinia pseudoacacia	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Robinia pseudoacacia	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Salix nigra	Low	Craighead and Middleton (1930)	Craighead FC, Middleton W (1930) An annotated list of the important North American forest insects. USDA Miscellaneous Publication No. 74, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Salix nigra	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Salix nigra	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Salix nigra	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Salix nigra	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Salix nigra	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Salix nigra	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Salix nigra	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Sassafras	Low	Craighead and Middleton (1930)	Craighead FC, Middleton W (1930) An annotated list of the important North American forest insects. USDA Miscellaneous Publication No. 74, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Sassafras	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Sassafras	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Sassafras	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Sassafras	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Sassafras	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Sassafras	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Sassafras	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Syringa	Low	Craighead and Middleton (1930)	Craighead FC, Middleton W (1930) An annotated list of the important North American forest insects. USDA Miscellaneous Publication No. 74, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Syringa	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Syringa	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Syringa	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Syringa	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Syringa	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Syringa	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Syringa	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Tilia (including Tilia americana)	Low	Craighead and Middleton (1930)	Craighead FC, Middleton W (1930) An annotated list of the important North American forest insects. USDA Miscellaneous Publication No. 74, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Tilia (including Tilia americana)	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Tilia (including Tilia americana)	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Tilia (including Tilia americana)	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Tilia (including Tilia americana)	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Tilia (including Tilia americana)	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Tilia (including Tilia americana)	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Tilia (including Tilia americana)	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Ulmus	Low	Craighead and Middleton (1930)	Craighead FC, Middleton W (1930) An annotated list of the important North American forest insects. USDA Miscellaneous Publication No. 74, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Ulmus	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Ulmus	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Ulmus	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Ulmus	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Ulmus	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Ulmus	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Ulmus	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Other Species	Low	Craighead and Middleton (1930)	Craighead FC, Middleton W (1930) An annotated list of the important North American forest insects. USDA Miscellaneous Publication No. 74, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Other Species	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Other Species	Low	Johnson and Lyon (1988)	Johnson WT, Lyon HH (1988) Insects that feed on trees and shrubs, 2nd edn. Cornell University Press, Ithaca
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Other Species	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Other Species	Low	Solomon (1995)	Solomon JD (1995) Guide to insect borers in North American broadleaf trees and shrubs. USDA Forest Service, Agriculture Handbook AH-706
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Other Species	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Other Species	Low	Cranshaw (2004)	Cranshaw W (2004) Garden insects of North America: the ultimate guide to backyard bugs. Princeton University Press, New Jersey
Coleoptera	Neoclytus acuminatus (Fabricius)	Redheaded Ash Borer	Other Species	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Acer	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Acer	Low	Keen (1952)	Keen FP (1952) Insect enemies of western forests. USDA Forest Service, Miscellaneous Publication No. 273
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Acer	Low	Linsley (1964)	Linsley EG (1964) The Cerambycidae of North America. Part V. Taxonomy and classification of the subfamily Cermabycinae, Tribes Callichromini through Ancylocerini, vol 22. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Acer	Low	Furniss and Carolin (1977)	Furniss RL, Carolin VM (1977) Western forest insects. Miscellaneous Publication No. 1339. USDA-Forest Service, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Acer	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Acer	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Acer	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Carya	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Carya	Low	Keen (1952)	Keen FP (1952) Insect enemies of western forests. USDA Forest Service, Miscellaneous Publication No. 273
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Carya	Low	Linsley (1964)	Linsley EG (1964) The Cerambycidae of North America. Part V. Taxonomy and classification of the subfamily Cermabycinae, Tribes Callichromini through Ancylocerini, vol 22. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Carya	Low	Furniss and Carolin (1977)	Furniss RL, Carolin VM (1977) Western forest insects. Miscellaneous Publication No. 1339. USDA-Forest Service, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Carya	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Carya	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Carya	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Celtis laevigata var. reticulate	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Celtis laevigata var. reticulate	Low	Keen (1952)	Keen FP (1952) Insect enemies of western forests. USDA Forest Service, Miscellaneous Publication No. 273
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Celtis laevigata var. reticulate	Low	Linsley (1964)	Linsley EG (1964) The Cerambycidae of North America. Part V. Taxonomy and classification of the subfamily Cermabycinae, Tribes Callichromini through Ancylocerini, vol 22. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Celtis laevigata var. reticulate	Low	Furniss and Carolin (1977)	Furniss RL, Carolin VM (1977) Western forest insects. Miscellaneous Publication No. 1339. USDA-Forest Service, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Celtis laevigata var. reticulate	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Celtis laevigata var. reticulate	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Celtis laevigata var. reticulate	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Diospyros virginiana	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Diospyros virginiana	Low	Keen (1952)	Keen FP (1952) Insect enemies of western forests. USDA Forest Service, Miscellaneous Publication No. 273
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Diospyros virginiana	Low	Linsley (1964)	Linsley EG (1964) The Cerambycidae of North America. Part V. Taxonomy and classification of the subfamily Cermabycinae, Tribes Callichromini through Ancylocerini, vol 22. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Diospyros virginiana	Low	Furniss and Carolin (1977)	Furniss RL, Carolin VM (1977) Western forest insects. Miscellaneous Publication No. 1339. USDA-Forest Service, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Diospyros virginiana	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Diospyros virginiana	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Diospyros virginiana	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Fraxinus nigra	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Fraxinus nigra	Low	Keen (1952)	Keen FP (1952) Insect enemies of western forests. USDA Forest Service, Miscellaneous Publication No. 273
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Fraxinus nigra	Low	Linsley (1964)	Linsley EG (1964) The Cerambycidae of North America. Part V. Taxonomy and classification of the subfamily Cermabycinae, Tribes Callichromini through Ancylocerini, vol 22. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Fraxinus nigra	Low	Furniss and Carolin (1977)	Furniss RL, Carolin VM (1977) Western forest insects. Miscellaneous Publication No. 1339. USDA-Forest Service, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Fraxinus nigra	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Fraxinus nigra	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Fraxinus nigra	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Mesquite	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Mesquite	Low	Keen (1952)	Keen FP (1952) Insect enemies of western forests. USDA Forest Service, Miscellaneous Publication No. 273
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Mesquite	Low	Linsley (1964)	Linsley EG (1964) The Cerambycidae of North America. Part V. Taxonomy and classification of the subfamily Cermabycinae, Tribes Callichromini through Ancylocerini, vol 22. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Mesquite	Low	Furniss and Carolin (1977)	Furniss RL, Carolin VM (1977) Western forest insects. Miscellaneous Publication No. 1339. USDA-Forest Service, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Mesquite	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Mesquite	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Mesquite	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Prosopis	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Prosopis	Low	Keen (1952)	Keen FP (1952) Insect enemies of western forests. USDA Forest Service, Miscellaneous Publication No. 273
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Prosopis	Low	Linsley (1964)	Linsley EG (1964) The Cerambycidae of North America. Part V. Taxonomy and classification of the subfamily Cermabycinae, Tribes Callichromini through Ancylocerini, vol 22. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Prosopis	Low	Furniss and Carolin (1977)	Furniss RL, Carolin VM (1977) Western forest insects. Miscellaneous Publication No. 1339. USDA-Forest Service, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Prosopis	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Prosopis	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Prosopis	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus (including Quercus alba	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus (including Quercus alba	Low	Keen (1952)	Keen FP (1952) Insect enemies of western forests. USDA Forest Service, Miscellaneous Publication No. 273
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus (including Quercus alba	Low	Linsley (1964)	Linsley EG (1964) The Cerambycidae of North America. Part V. Taxonomy and classification of the subfamily Cermabycinae, Tribes Callichromini through Ancylocerini, vol 22. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus (including Quercus alba	Low	Furniss and Carolin (1977)	Furniss RL, Carolin VM (1977) Western forest insects. Miscellaneous Publication No. 1339. USDA-Forest Service, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus (including Quercus alba	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus (including Quercus alba	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus (including Quercus alba	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus emoryi	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus emoryi	Low	Keen (1952)	Keen FP (1952) Insect enemies of western forests. USDA Forest Service, Miscellaneous Publication No. 273
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus emoryi	Low	Linsley (1964)	Linsley EG (1964) The Cerambycidae of North America. Part V. Taxonomy and classification of the subfamily Cermabycinae, Tribes Callichromini through Ancylocerini, vol 22. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus emoryi	Low	Furniss and Carolin (1977)	Furniss RL, Carolin VM (1977) Western forest insects. Miscellaneous Publication No. 1339. USDA-Forest Service, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus emoryi	Low	Solomon et al. (1993)	Solomon JD, Leininger TD, Wilson AD et al (1993) Ash pests: a guide to major insects, diseases, air pollution injury, and chemical injury. USDA Forest Service, General Technical Report SO-96
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus emoryi	Low	Yanega (1996)	Yanega D (1996) Field guide to northeastern longhorned beetles (Coleoptera: Cerambycidae) . Illinois Natural History Survey Manual 6
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus emoryi	Low	Lingafelter (2007)	Lingafelter SW (2007) Illustrated key to the longhorned woodboring beetles of the eastern Unites States. The Coleopterists Society Special Publication No. 3, Nevada City
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus vaseyana var. vaseyana)	Low	Craighead (1949)	Craighead FC (1949) Insect enemies of eastern forests. USDA Miscellaneous Publication No. 657, Washington, DC
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus vaseyana var. vaseyana)	Low	Keen (1952)	Keen FP (1952) Insect enemies of western forests. USDA Forest Service, Miscellaneous Publication No. 273
Coleoptera	Neoclytus caprea (Say)	Banded Ash Borer	Quercus vaseyana var. vaseyana)	Low	Linsley (1964)	Linsley EG (1964) The Cerambycidae of North America. Part V. Taxonomy and classification of the subfamily Cermabycinae, Tribes Callichromini through Ancylocerini, vol 22. University of California Publications in Entomology, University of California Press, Berkeley and Los Angeles
